127.0.0.1 - - [09/Mar/2018:20:09:19 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:22 +0530] "GET /StudentFeedBackSystem/ HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:27 +0530] "GET /StudentFeedBackSystem/ HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:27 +0530] "GET /StudentFeedBackSystem/layout/styles/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:27 +0530] "GET /StudentFeedBackSystem/layout/styles/fontawesome-4.2.0.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:27 +0530] "GET /StudentFeedBackSystem/layout/scripts/nivo-lightbox/nivo-lightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/layout/styles/framework.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/images/banner_image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/layout/scripts/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/images/demo/slider/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/images/demo/slider/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/images/demo/slider/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/images/demo/slider/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/layout/scripts/jquery.fitvids.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/layout/scripts/jquery.mobilemenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:28 +0530] "GET /StudentFeedBackSystem/layout/scripts/tabslet/jquery.tabslet.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:39 +0530] "GET /StudentFeedBackSystem/adminlogin.jsp HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:40 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:09:40 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:02 +0530] "POST /StudentFeedBackSystem/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:02 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:02 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:02 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:11 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:11 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:11 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:19 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:19 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:19 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:21 +0530] "GET /StudentFeedBackSystem/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:21 +0530] "GET /StudentFeedBackSystem/home.jsp HTTP/1.1" 200 8609
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:25 +0530] "GET /StudentFeedBackSystem/studentlogin.jsp HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:25 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [09/Mar/2018:20:10:25 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
