0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:04 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:07 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:07 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:07 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:08 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:08 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:08 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:09 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:09 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:09 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:11 +0530] "GET /StudentFeedBackSystem/UserServlet?action=alluserlist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:11 +0530] "GET /StudentFeedBackSystem/allstafflist.jsp HTTP/1.1" 200 7665
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:11 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:11 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:26 +0530] "GET /StudentFeedBackSystem/UserServlet?action=seefeedback&faculty_id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:26 +0530] "GET /StudentFeedBackSystem/allstafflistFeedback.jsp HTTP/1.1" 200 4958
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:26 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:26 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:29 +0530] "GET /StudentFeedBackSystem/adminAction.jsp HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:29 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:29 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:33 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:33 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:33 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:34 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:34 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:34 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:35 +0530] "GET /StudentFeedBackSystem/adminAction.jsp? HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:35 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:35 +0530] "GET /StudentFeedBackSystem/css/normalize.css HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:36 +0530] "GET /StudentFeedBackSystem/UserServlet?action=allStudentlist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:36 +0530] "GET /StudentFeedBackSystem/allstudentlist.jsp HTTP/1.1" 200 13773
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:36 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:36 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:59 +0530] "GET /StudentFeedBackSystem/UserServlet?action=deleteStudent&student_id=11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:59 +0530] "GET /StudentFeedBackSystem/UserServlet?action=allStudentlist HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:59 +0530] "GET /StudentFeedBackSystem/allstudentlist.jsp HTTP/1.1" 200 13499
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:59 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [27/Mar/2018:09:45:59 +0530] "GET /StudentFeedBackSystem/css/main.css HTTP/1.1" 404 1062
